ORF	Gene_name	Phenotypic_potential	AMS_PPI_degree	LC_SLI_degree	Haploid_fitness	Description
YBR200W	BEM1	3.09	2	26	1.088	Protein containing SH3-domains, involved in establishing cell polarity and morphogenesis; functions as a scaffold protein for complexes that include Cdc24p, Ste5p, Ste20p, and Rsr1p
YER095W	RAD51	3.083	28	30	0.881	Strand exchange protein, forms a helical filament with DNA that searches for homology; involved in the recombinational repair of double-strand breaks in DNA during vegetative growth and meiosis; homolog of Dmc1p and bacterial RecA protein
YNL298W	CLA4	3.068	12	95	1.073	Cdc42p activated signal transducing kinase of the PAK (p21-activated kinase) family, involved in septin ring assembly and cytokinesis; directly phosphorylates septins Cdc3p and Cdc10p; other yeast PAK family members are Ste20p and Skm1p
YAL047C	SPC72	2.992	8	2	0.72	Component of the cytoplasmic Tub4p (gamma-tubulin) complex, binds spindle pole bodies and links them to microtubules; has roles in astral microtubule formation and stabilization
YBR194W	SOY1	2.977	1	6	0.736	Protein proposed to be associated with the nuclear pore complex
YDL013W	HEX3	2.956	12	33	0.682	Protein containing a RING finger domain that interacts with Slx8p; mutant phenotypes and genetic interactions suggest a role in sumoylation and in genome stability
YLL002W	RTT109	2.891	1	6	0.764	Histone acetyltransferase critical for cell survival in the presence of DNA damage during S phase, acetylates H3-K56; plays a role in regulation of Ty1 transposition
YGL163C	RAD54	2.882	3	27	0.936	DNA-dependent ATPase, stimulates strand exchange by modifying the topology of double-stranded DNA; involved in the recombinational repair of double-strand breaks in DNA during vegetative growth and meiosis; member of the SWI/SNF family
YLR322W	YLR322W	2.766	NA	NA	0.581	Dubious open reading frame, unlikely to encode a protein; not conserved in closely related Saccharomyces species; 75% of ORF overlaps the verified gene SFH1; deletion causes a vacuolar protein sorting defect
YGR006W	PRP18	2.749	3	3	0.955	Splicing factor involved in the positioning of the 3' splice site during the second catalytic step of splicing, recruited to the spliceosome by Slu7p
YDR320C	SWA2	2.689	4	8	0.755	Auxilin-like protein involved in vesicular transport; clathrin-binding protein required for uncoating of clathrin-coated vesicles
YBR112C	CYC8	2.686	3	NA	1.068	General transcriptional co-repressor, acts together with Tup1p; also acts as part of a transcriptional co-activator complex that recruits the SWI/SNF and SAGA complexes to promoters
YMR116C	ASC1	2.677	48	4	0.883	WD repeat protein (G-beta like protein) involved in translation regulation; required for repression of Gcn4p activity in the absence of amino-acid starvation; core component of the ribosome; ortholog of mammalian RACK1
YOL072W	THP1	2.65	7	20	0.567	Nuclear pore-associated protein, forms a complex with Sac3p that is involved in transcription and in mRNA export from the nucleus; contains a PAM domain implicated in protein-protein binding
YER070W	RNR1	2.63	7	1	0.555	Ribonucleotide-diphosphate reductase (RNR), large subunit; the RNR complex catalyzes the rate-limiting step in dNTP synthesis and is regulated by DNA replication and DNA damage checkpoint pathways via localization of the small subunits
YHR010W	RPL27A	2.595	67	2	0.96	Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl27Bp and has similarity to rat L27 ribosomal protein
YLR370C	ARC18	2.544	9	16	0.774	Subunit of the ARP2/3 complex, which is required for the motility and integrity of cortical actin patches
YML112W	CTK3	2.542	6	21	0.555	Gamma subunit of C-terminal domain kinase I (CTDK-I), which phosphorylates the C-terminal repeated domain of the RNA polymerase II large subunit (Rpo21p) to affect both transcription and pre-mRNA 3' end processing
YIL015W	BAR1	2.537	1	NA	1.002	Aspartyl protease secreted into the periplasmic space of mating type a cells, helps cells find mating partners, cleaves and inactivates alpha factor allowing cells to recover from alpha-factor-induced cell cycle arrest
YJL127C	SPT10	2.532	NA	4	0.785	Putative histone acetylase, sequence-specific activator of histone genes, binds specifically and highly cooperatively to pairs of UAS elements in core histone promoters, functions at or near the TATA box
YIL009C-A	EST3	2.518	1	NA	0.876	Component of the telomerase holoenzyme, involved in telomere replication
YBR081C	SPT7	2.489	33	21	NA	Subunit of the SAGA transcriptional regulatory complex, involved in proper assembly of the complex; also present as a C-terminally truncated form in the SLIK/SALSA transcriptional regulatory complex
YMR078C	CTF18	2.443	9	75	0.812	Subunit of a complex with Ctf8p that shares some subunits with Replication Factor C and is required for sister chromatid cohesion; may have overlapping functions with Rad24p in the DNA damage replication checkpoint
YBL025W	RRN10	2.432	1	3	0.508	Protein involved in promoting high level transcription of rDNA, subunit of UAF (upstream activation factor) for RNA polymerase I
YOL012C	HTZ1	2.42	36	79	0.857	Histone variant H2AZ, exchanged for histone H2A in nucleosomes by the SWR1 complex; involved in transcriptional regulation through prevention of the spread of silent heterochromatin
YPR120C	CLB5	2.401	8	15	0.907	B-type cyclin involved in DNA replication during S phase; activates Cdc28p to promote initiation of DNA synthesis; functions in formation of mitotic spindles along with Clb3p and Clb4p; most abundant during late G1 phase
YKL139W	CTK1	2.371	19	33	0.765	Catalytic (alpha) subunit of C-terminal domain kinase I (CTDK-I), which phosphorylates the C-terminal repeated domain of the RNA polymerase II large subunit (Rpo21p) to affect both transcription and pre-mRNA 3' end processing
YGL206C	CHC1	2.357	9	8	0.977	Clathrin heavy chain, subunit of the major coat protein involved in intracellular protein transport and endocytosis; two heavy chains form the clathrin triskelion structural component; the light chain (CLC1) is thought to regulate function
YDR264C	AKR1	2.325	5	2	0.517	Palmitoyl transferase involved in protein palmitoylation; acts as a negative regulator of pheromone response pathway; required for endocytosis of pheromone receptors; involved in cell shape control; contains ankyrin repeats
YDR334W	SWR1	2.312	19	72	0.985	Swi2/Snf2-related ATPase that is the structural component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A
YGR019W	UGA1	2.293	NA	2	0.996	Gamma-aminobutyrate (GABA) transaminase (4-aminobutyrate aminotransferase) involved in the 4-aminobutyrate and glutamate degradation pathways; required for normal oxidative stress tolerance and nitrogen utilization
YOL115W	PAP2	2.258	20	38	0.622	Catalytic subunit of TRAMP (Trf4/Pap2p-Mtr4p-Air1p/2p), a nuclear poly (A) polymerase complex involved in RNA quality control; catalyzes polyadenylation of unmodified tRNAs, and snoRNA and rRNA precursors; disputed role as a DNA polymerase
YMR198W	CIK1	2.253	3	37	0.865	Kinesin-associated protein required for both karyogamy and mitotic spindle organization, interacts stably and specifically with Kar3p and may function to target this kinesin to a specific cellular role; has similarity to Vik1p
YPL078C	ATP4	2.237	3	1	0.978	Subunit b of the stator stalk of mitochondrial F1F0 ATP synthase, which is a large, evolutionarily conserved enzyme complex required for ATP synthesis
YDL191W	RPL35A	2.214	9	4	0.589	Protein component of the large (60S) ribosomal subunit, identical to Rpl35Bp and has similarity to rat L35 ribosomal protein
YNL206C	RTT106	2.17	5	4	0.955	Protein with a role in regulation of Ty1 transposition
YJL204C	RCY1	2.169	1	3	0.746	F-box protein involved in recycling plasma membrane proteins internalized by endocytosis; localized to sites of polarized growth
YKL048C	ELM1	2.169	3	23	1.004	Serine/threonine protein kinase that regulates cellular morphogenesis, septin behavior, and cytokinesis; required for the regulation of other kinases; forms part of the bud neck ring
YMR031W-A	YMR031W-A	2.152	NA	NA	0.948	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; null mutant displays shortened telomeres; partially overlaps the uncharacterized ORF YMR031C
YBR082C	UBC4	2.149	5	5	0.744	Ubiquitin-conjugating enzyme that mediates degradation of short-lived and abnormal proteins; interacts with E3-CaM in ubiquitinating calmodulin; interacts with many SCF ubiquitin protein ligases; component of the cellular stress response
YKR082W	NUP133	2.146	17	53	0.657	Subunit of the Nup84p subcomplex of the nuclear pore complex (NPC), localizes to both sides of the NPC, required to establish a normal nucleocytoplasmic concentration gradient of the GTPase Gsp1p
YDR173C	ARG82	2.144	1	NA	0.382	Inositol polyphosphate multikinase (IPMK), sequentially phosphorylates Ins(1,4,5)P3 to form Ins(1,3,4,5,6)P5; putative nuclear lipid inositol PI3-kinase; regulates arginine-, phosphate-, and nitrogen-responsive genes
YMR091C	NPL6	2.143	34	7	0.866	Component of the RSC chromatin remodeling complex; interacts with Rsc3p, Rsc30p, Ldb7p, and Htl1p to form a module important for a broad range of RSC functions; involved in nuclear protein import and maintenance of proper telomere length
YHR200W	RPN10	2.143	44	28	0.871	Non-ATPase base subunit of the 19S regulatory particle (RP) of the 26S proteasome; N-terminus plays a role in maintaining the structural integrity of the RP; binds selectively to polyubiquitin chains; homolog of the mammalian S5a protein
YPR164W	MMS1	2.127	5	9	0.889	Protein likely involved in protection against replication-dependent DNA damage; mutants are sensitive to methyl methanesulfonate (MMS); implicated in regulation of Ty1 transposition
YNL133C	FYV6	2.115	1	1	0.707	Protein of unknown function, required for survival upon exposure to K1 killer toxin; proposed to regulate double-strand break repair via non-homologous end-joining
YPR072W	NOT5	2.068	6	10	1.011	Subunit of the CCR4-NOT complex, which is a global transcriptional regulator with roles in transcription initiation and elongation and in mRNA degradation
YBR172C	SMY2	2.035	1	NA	1.011	Protein of unknown function that interacts with Myo2p; has similarity to S. pombe Mpd2
YDR505C	PSP1	2.02	NA	NA	1.012	Asn and gln rich protein of unknown function; high-copy suppressor of POL1 (DNA polymerase alpha) and partial suppressor of CDC2 (polymerase delta) and CDC6 (pre-RC loading factor) mutations; overexpression results in growth inhibition
YMR219W	ESC1	2.016	4	NA	0.99	Protein localized to the nuclear periphery, involved in telomeric silencing; interacts with PAD4-domain of Sir4p
YOR327C	SNC2	2.002	NA	13	0.899	Vesicle membrane receptor protein (v-SNARE) involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane; member of the synaptobrevin/VAMP family of R-type v-SNARE proteins
YJL006C	CTK2	1.999	6	22	NA	Beta subunit of C-terminal domain kinase I (CTDK-I), which phosphorylates the C-terminal repeated domain of the RNA polymerase II large subunit (Rpo21p) to affect both transcription and pre-mRNA 3' end processing; has similarity to cyclins
YNL138W	SRV2	1.986	14	5	1.091	CAP (cyclase-associated protein) subunit of adenylyl cyclase complex; N-terminus binds adenylyl cyclase and facilitates activation by RAS; C-terminus binds ADP-actin monomers, facilitating regulation of actin dynamics and cell morphogenesis
YDL133W	YDL133W	1.984	NA	1	0.965	Putative protein of unknown function
YDR442W	YDR442W	1.982	NA	NA	0.851	Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data
YOL148C	SPT20	1.969	22	10	1.049	Subunit of the SAGA transcriptional regulatory complex, involved in maintaining the integrity of the complex
YPL106C	SSE1	1.968	22	6	0.589	ATPase that is a component of the heat shock protein Hsp90 chaperone complex; binds unfolded proteins; member of the heat shock protein 70 (HSP70) family; localized to the cytoplasm
YGR262C	BUD32	1.958	28	NA	0.938	Protein kinase proposed to be involved in bud-site selection, telomere uncapping and elongation, and transcription; component of the EKC/KEOPS protein complex with Kae1p, Cgi121p, Pcc1p, and Gon7p
YNL224C	SQS1	1.952	5	NA	0.996	Protein of unknown function; overexpression antagonizes the suppression of splicing defects by spp382 mutants; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus
YGR105W	VMA21	1.945	5	7	1.014	Integral membrane protein that is required for vacuolar H+-ATPase (V-ATPase) function, although not an actual component of the V-ATPase complex; functions in the assembly of the V-ATPase; localized to the yeast endoplasmic reticulum (ER)
YOR258W	HNT3	1.934	NA	NA	1.069	Member of the third branch of the histidine triad (HIT) superfamily of nucleotide-binding proteins; similar to Aprataxin, a Hint related protein that is mutated in individuals with ataxia with oculomotor apraxia
YNL065W	AQR1	1.921	1	NA	1.007	Plasma membrane transporter of the major facilitator superfamily that confers resistance to short-chain monocarboxylic acids and quinidine
YBR106W	PHO88	1.918	2	2	0.93	Probable membrane protein, involved in phosphate transport; pho88 pho86 double null mutant exhibits enhanced synthesis of repressible acid phosphatase at high inorganic phosphate concentrations
YJL140W	RPB4	1.903	22	9	0.499	RNA polymerase II subunit B32; forms two subunit dissociable complex with Rpb7p; dispensable under some environmental conditions; involved in export of mRNA to cytoplasm under stress conditions; involved in telomere maintenance
YHR154W	RTT107	1.895	16	20	0.968	Protein implicated in Mms22-dependent DNA repair during S phase, DNA damage induces phosphorylation by Mec1p at one or more SQ/TQ motifs; interacts with Mms22p and Slx4p; has four BRCT domains; has a role in regulation of Ty1 transposition
YLR452C	SST2	1.89	8	6	0.955	GTPase-activating protein for Gpa1p, regulates desensitization to alpha factor pheromone; also required to prevent receptor-independent signaling of the mating pathway; member of the RGS (regulator of G-protein signaling) family
YDR414C	ERD1	1.858	NA	5	0.951	Predicted membrane protein required for the retention of lumenal endoplasmic reticulum proteins; mutants secrete the endogenous ER protein, BiP (Kar2p)
YER116C	SLX8	1.839	10	18	0.636	Protein containing a RING finger domain that interacts with Hex3p; mutant phenotypes and genetic interactions suggest a role in sumoylation and in genome stability
YPL268W	PLC1	1.824	1	7	1.055	Phosphoinositide-specific phospholipase C, hydrolyzes phosphatidylinositol 4,5-biphosphate (PIP2) to generate inositol 1,4,5-triphosphate (IP3) and 1,2-diacylglycerol (DAG); involved in kinetochore function and pseudohyphal differentiation
YMR035W	IMP2	1.824	NA	3	1.085	Catalytic subunit of the mitochondrial inner membrane peptidase complex, required for maturation of mitochondrial proteins of the intermembrane space; complex contains Imp1p and Imp2p (both catalytic subunits), and Som1p
YDR462W	MRPL28	1.817	26	1	0.832	Mitochondrial ribosomal protein of the large subunit
YFL010C	WWM1	1.813	NA	NA	1.027	WW domain containing protein of unknown function; binds to Mca1p, a caspase-related protease that regulates H2O2-induced apoptosis; overexpression causes Gi phase growth arrest and clonal death that is suppressed by overexpression of MCA1
YPR070W	MED1	1.809	31	15	0.835	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation
YDR300C	PRO1	1.806	9	NA	1.02	Gamma-glutamyl kinase, catalyzes the first step in proline biosynthesis
YML128C	MSC1	1.804	NA	6	0.903	Protein of unknown function; mutant is defective in directing meiotic recombination events to homologous chromatids; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
YLR358C	YLR358C	1.8	NA	NA	0.647	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF RSC2/YLR357W
YOL150C	YOL150C	1.798	NA	NA	1.009	Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data
YBR231C	SWC5	1.793	16	71	0.907	Protein of unknown function, component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A
YPR141C	KAR3	1.792	1	89	0.831	Minus-end-directed microtubule motor that functions in mitosis and meiosis, localizes to the spindle pole body and localization is dependent on functional Cik1p, required for nuclear fusion during mating; potential Cdc28p substrate
YKL054C	DEF1	1.784	10	NA	0.807	RNAPII degradation factor, forms a complex with Rad26p in chromatin, enables ubiquitination and proteolysis of RNAPII present in an elongation complex
YDR433W	YDR433W	1.773	NA	NA	1.027	Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data
YEL015W	EDC3	1.771	8	2	0.981	Non-essential conserved protein of unknown function, plays a role in mRNA decapping by specifically affecting the function of the decapping enzyme Dcp1p; localizes to cytoplasmic mRNA processing bodies
YGR160W	YGR160W	1.767	NA	NA	0.738	Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data
YGL223C	COG1	1.759	7	22	0.984	Essential component of the conserved oligomeric Golgi complex (Cog1p through Cog8p), a cytosolic tethering complex that functions in protein trafficking to mediate fusion of transport vesicles to Golgi compartments
YNL171C	YNL171C	1.753	NA	NA	0.751	Dubious open reading frame unlikely to encode a functional protein; based on available experimental and comparative sequence data
YDL225W	SHS1	1.75	18	11	1.004	One of five related septins (Cdc3p, Cdc10p, Cdc11p, Cdc12p, Shs1p) that form a cortical filamentous collar at the mother-bud neck which is necessary for normal morphogenesis and cytokinesis
YOR026W	BUB3	1.748	2	102	0.837	Kinetochore checkpoint WD40 repeat protein that localizes to kinetochores during prophase and metaphase, delays anaphase in the presence of unattached kinetochores; forms complexes with Mad1p-Bub1p and with Cdc20p, binds Mad2p and Mad3p
YJR074W	MOG1	1.746	2	3	0.912	Conserved nuclear protein that interacts with GTP-Gsp1p, which is a Ran homolog of the Ras GTPase family, and stimulates nucleotide release, involved in nuclear protein import, nucleotide release is inhibited by Yrb1p
YLR234W	TOP3	1.743	1	35	0.872	DNA Topoisomerase III, conserved protein that functions in a complex with Sgs1p and Rmi1p to relax single-stranded negatively-supercoiled DNA preferentially, involved in telomere stability and regulation of mitotic recombination
YJR055W	HIT1	1.74	NA	2	0.716	Protein of unknown function, required for growth at high temperature
YDR195W	REF2	1.732	24	3	0.218	RNA-binding protein involved in the cleavage step of mRNA 3'-end formation prior to polyadenylation, and in snoRNA maturation; part of holo-CPF subcomplex APT, which associates with 3'-ends of snoRNA- and mRNA-encoding genes
YGR104C	SRB5	1.73	44	13	0.525	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation; involved in telomere maintenance
YLL020C	YLL020C	1.728	NA	NA	0.924	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified gene KNS1
YPR101W	SNT309	1.724	35	3	0.621	Component of NineTeen complex (NTC) containing Prp19p involved in mRNA splicing, interacts physically and genetically with Prp19p
YOR178C	GAC1	1.719	1	NA	1.03	Regulatory subunit for Glc7p type-1 protein phosphatase (PP1), tethers Glc7p to Gsy2p glycogen synthase, binds Hsf1p heat shock transcription factor, required for induction of some HSF-regulated genes under heat shock
YJR054W	YJR054W	1.718	NA	NA	0.9	Vacuolar protein of unknown function; potential Cdc28p substrate
YLR447C	VMA6	1.676	10	6	0.479	Subunit d of the five-subunit V0 integral membrane domain of vacuolar H+-ATPase (V-ATPase), an electrogenic proton pump found in the endomembrane system; stabilizes VO subunits; required for V1 domain assembly on the vacuolar membrane
YCL029C	BIK1	1.662	7	40	0.921	Microtubule-associated protein, component of the interface between microtubules and kinetochore, involved in sister chromatid separation; essential in polyploid cells but not in haploid or diploid cells; ortholog of mammalian CLIP-170
YCR066W	RAD18	1.659	2	10	NA	Protein involved in postreplication repair; binds single-stranded DNA and has single-stranded DNA dependent ATPase activity; forms heterodimer with Rad6p; contains RING-finger motif
YCL016C	DCC1	1.655	4	73	0.875	Subunit of a complex with Ctf8p and Ctf18p that shares some components with Replication Factor C, required for sister chromatid cohesion and telomere length maintenance
YCL037C	SRO9	1.655	29	7	0.833	Cytoplasmic RNA-binding protein that associates with translating ribosomes; involved in heme regulation of Hap1p as a component of the HMC complex, also involved in the organization of actin filaments; contains a La motif
YOR144C	ELG1	1.654	5	37	0.974	Protein required for S phase progression and telomere homeostasis, forms an alternative replication factor C complex important for DNA replication and genome integrity; involved in homologous recombination-mediated DNA repair
YPL084W	BRO1	1.649	3	5	0.726	Cytoplasmic class E vacuolar protein sorting (VPS) factor that coordinates deubiquitination in the multivesicular body (MVB) pathway by recruiting Doa4p to endosomes
YJL184W	GON7	1.646	2	1	0.42	Protein proposed to be involved in the modification of N-linked oligosaccharides, osmotic stress response, telomere uncapping and elongation, transcription; component of the EKC/KEOPS protein complex with Kae1p, Cgi121p, Pcc1p, and Bud32p
YFR017C	YFR017C	1.644	2	NA	0.968	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and is induced in response to the DNA-damaging agent MMS; YFR017C is not an essential gene
YEL061C	CIN8	1.642	6	102	0.935	Kinesin motor protein involved in mitotic spindle assembly and chromosome segregation
YOR241W	MET7	1.639	NA	3	0.67	Folylpolyglutamate synthetase, catalyzes extension of the glutamate chains of the folate coenzymes, required for methionine synthesis and for maintenance of mitochondrial DNA
YFR019W	FAB1	1.632	9	22	0.985	1-phosphatidylinositol-3-phosphate 5-kinase; vacuolar membrane kinase that generates phosphatidylinositol (3,5)P2, which is involved in vacuolar sorting and homeostasis
YGR036C	CAX4	1.631	NA	2	0.603	Dolichyl pyrophosphate (Dol-P-P) phosphatase with a luminally oriented active site in the ER, cleaves the anhydride linkage in Dol-P-P, required for Dol-P-P-linked oligosaccharide intermediate synthesis and protein N-glycosylation
YJL123C	YJL123C	1.627	6	4	0.937	Protein of unknown function that may interact with ribosomes; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and to COPI-coated vesicles (early Golgi); YJL123C is a non-essential gene
YLR399C	BDF1	1.626	22	9	0.783	Protein involved in transcription initiation at TATA-containing promoters; associates with the basal transcription factor TFIID; contains two bromodomains; corresponds to the C-terminal region of mammalian TAF1; redundant with Bdf2p
YNR075W	COS10	1.62	NA	NA	1.004	Protein of unknown function, member of the DUP380 subfamily of conserved, often subtelomerically-encoded proteins
YMR205C	PFK2	1.619	14	2	0.944	Beta subunit of heterooctameric phosphofructokinase involved in glycolysis, indispensable for anaerobic growth, activated by fructose-2,6-bisphosphate and AMP, mutation inhibits glucose induction of cell cycle-related genes
YLR318W	EST2	1.612	NA	6	0.451	Reverse transcriptase subunit of the telomerase holoenzyme, essential for telomerase core catalytic activity, involved in other aspects of telomerase assembly and function; mutations in human homolog are associated with aplastic anemia
YOR369C	RPS12	1.611	3	NA	1.064	Protein component of the small (40S) ribosomal subunit; has similarity to rat ribosomal protein S12
YHR167W	THP2	1.596	14	6	0.974	Subunit of the THO complex, which connects transcription elongation and mitotic recombination, and of the TREX complex, which is recruited to activated genes and couples transcription to mRNA export; involved in telomere maintenance
YMR142C	RPL13B	1.595	64	1	0.727	Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl13Ap; not essential for viability; has similarity to rat L13 ribosomal protein
YKL118W	YKL118W	1.594	NA	NA	0.701	Dubious open reading frame, unlikely to encode a protein; partially overlaps the verified gene VPH2
YKL081W	TEF4	1.593	38	3	0.981	Translation elongation factor EF-1 gamma
YJR018W	YJR018W	1.586	NA	NA	NA	Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data
YMR152W	YIM1	1.585	NA	1	1.04	Protein of unknown function; null mutant displays sensitivity to DNA damaging agents; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
YGL174W	BUD13	1.578	9	2	0.796	Subunit of the RES complex, which is required for nuclear pre-mRNA retention and splicing; involved in bud-site selection; diploid mutants display a unipolar budding pattern instead of the wild-type bipolar pattern
YMR105C	PGM2	1.572	16	NA	1.065	Phosphoglucomutase, catalyzes the conversion from glucose-1-phosphate to glucose-6-phosphate, which is a key step in hexose metabolism; functions as the acceptor for a Glc-phosphotransferase
YDR004W	RAD57	1.554	NA	16	0.923	Protein that stimulates strand exchange by stabilizing the binding of Rad51p to single-stranded DNA; involved in the recombinational repair of double-strand breaks in DNA during vegetative growth and meiosis; forms heterodimer with Rad55p
YMR039C	SUB1	1.551	2	3	1	Transcriptional coactivator, facilitates elongation by influencing enzymes that modify RNAP II, acts in a peroxide resistance pathway involving Rad2p; suppressor of TFIIB mutations
