"rank","ORF","GENE","Putative TOR pathway","1 week ","2 week ","5 week ","7 weeks","Description","Function","Localization"
53,"YER040W","GLN3","*",0.17,1.25,2.18,12.27,"positive regulation of transcription from Pol II promoter*","transcription factor activity*","nucleus*"
54,"YKR034W","DAL80","*",1.61,2.24,3.9,9.47,"transcription*","transcription factor activity","nucleus"
55,"YFR041C",,,1.58,1.29,2,12.04,"biological_process unknown","molecular_function unknown","endoplasmic reticulum"
56,"YGL033W","HOP2",,1.7,1.45,5.07,8.75,"synapsis","molecular_function unknown","condensed nuclear chromosome"
57,"YGR237C",,,2.17,8.57,0.37,6.32,"biological_process unknown","molecular_function unknown","cytoplasm"
58,"YKL027W",,,2.36,2.37,3.36,9.35,"biological_process unknown","molecular_function unknown","mitochondrion"
59,"YGR054W",,,1.19,1.17,2.65,11.17,"translational initiation","translation initiation factor activity","cytosolic small ribosomal subunit (sensu Eukarya)*"
60,"YNL021W","HDA1",,1.06,2.76,4.75,7.46,"regulation of transcription, DNA-dependent*","histone deacetylase activity","histone deacetylase complex"
61,"YKL015W","PUT3",,1.39,1.26,2.45,11.22,"positive regulation of transcription from Pol II promoter*","specific RNA polymerase II transcription factor activity","nucleus"
62,"YDR262W",,,1.67,1.74,4.68,8.38,"biological_process unknown","molecular_function unknown","vacuole (sensu Fungi)"
63,"YBR019C","GAL10",,1.31,3.6,6.3,4.88,"galactose metabolism","molecular_function unknown","cellular_component unknown"
64,"YHR126C",,,2.19,2.34,4.52,7.82,"biological_process unknown","molecular_function unknown","cellular_component unknown"
65,"YML066C","SMA2",,1.52,1.8,4.95,7.89,"spore wall assembly (sensu Saccharomyces)","molecular_function unknown","cellular_component unknown"
66,"YBL042C","FUI1",,2.3,4.26,4.37,5.71,"uridine transport","uridine transporter activity","plasma membrane"
67,"YPR031W","NTO1",,0.88,0.95,1.17,12.18,"biological_process unknown","molecular_function unknown","cytoplasm*"
68,"YBR030W",,,1.66,4.93,7.99,1.34,"phospholipid metabolism","molecular_function unknown","nucleus"
69,"YHR003C",,,1.41,2.08,0.85,11.31,"biological_process unknown","molecular_function unknown","mitochondrion"
70,"YBR248C","HIS7","*",2.31,2.69,6.92,4.56,"histidine biosynthesis*","imidazoleglycerol phosphate synthase activity","intracellular"
71,"YKL001C","MET14","*",0.16,0.33,0.61,13.2,"methionine metabolism*","adenylyl-sulfate kinase activity","cell"
72,"YKL081W","TEF4",,1.14,1.48,1.23,11.24,"translational elongation","translation elongation factor activity","ribosome"
73,"YHR064C","SSZ1",,0.21,0.48,0.46,13.01,"protein biosynthesis","chaperone activity","cytoplasm"
74,"YER132C","PMD1",,1.65,3.59,4.09,6.2,"sporulation","molecular_function unknown","cytoplasm"
75,"YGR289C","MAL11",,1.52,2.7,7.6,3.18,"alpha-glucoside transport*","alpha-glucoside:hydrogen symporter activity*","membrane fraction"
76,"YPL042C","SSN3",,0.31,0.02,0.02,13.28,"protein amino acid phosphorylation*","general RNA polymerase II transcription factor activity*","transcription factor complex"
77,"YGR153W",,,1.96,1.5,2.44,9.33,"biological_process unknown","molecular_function unknown","cellular_component unknown"
78,"YNL014W","HEF3",,2,1.52,7.13,4.54,"translational elongation","ATPase activity*","cytosolic ribosome (sensu Eukarya)"
79,"YDR515W","SLF1",,1.65,1.38,6.04,5.7,"regulation of translation*","RNA binding","cytoplasm*"
80,"YGL195W","GCN1","*",1.15,5.25,7.66,0.18,"regulation of translational elongation","molecular_function unknown","cytosol*"
81,"YGR045C",,,1.78,2.87,3.66,6.51,"biological_process unknown","molecular_function unknown","cellular_component unknown"
82,"YIL056W",,,1.31,1.86,3.61,7.55,"biological_process unknown","molecular_function unknown","cytoplasm*"
83,"YKL068W","NUP100",,1.44,1.29,1.57,10.09,"mRNA-nucleus export*","structural molecule activity","nuclear pore"
84,"YGR059W","SPR3",,1.4,1.84,3.48,7.18,"cell wall organization and biogenesis*","structural constituent of cytoskeleton","prospore membrane*"
85,"YBL103C","RTG3","*",1.28,2.53,7.13,2.82,"transcription initiation from Pol II promoter","specific RNA polymerase II transcription factor activity","cytoplasm*"
86,"YKL216W","URA1",,2.27,4.16,2.97,5.33,"pyrimidine base biosynthesis","dihydroorotate dehydrogenase activity","cytoplasm"
87,"YHR111W","UBA4",,1.32,1.55,1.56,9.35,"protein modification","URM1 activating enzyme activity","cytoplasm"
88,"YGL083W","SCY1",,1.42,1.21,6.38,4.84,"biological_process unknown","molecular_function unknown","clathrin-coated vesicle"
89,"YNL016W","PUB1",,1.96,5.24,4.8,2.37,"mRNA catabolism, nonsense-mediated","nucleic acid binding","cytoplasm*"
90,"YLR455W",,,1.74,1.36,3.93,7.08,"biological_process unknown","molecular_function unknown","nucleus"
91,"YBR012C",,,1.96,5.64,6.45,0.27,,,
92,"YGR108W","CLB1",,1.62,2.21,2.56,7.55,"G2/M transition of mitotic cell cycle*","cyclin-dependent protein kinase, intrinsic regulator activity","nucleus"
93,"YMR015C","ERG5",,1.91,4.75,2.88,4.66,"ergosterol biosynthesis","C-22 sterol desaturase activity","endoplasmic reticulum"
94,"YDL034W",,,1.89,2.23,6.48,3.54,,,
95,"YML062C","MFT1",,1.79,3.38,3.29,5.55,"mRNA-nucleus export*","nucleic acid binding","THO complex"
96,"YCR048W","ARE1",,2.04,3.47,5.94,2.77,"sterol metabolism","sterol O-acyltransferase activity","endoplasmic reticulum"
97,"YHR161C","YAP1801",,2,2.02,2.2,7.93,"endocytosis","cytoskeletal adaptor activity","actin cortical patch (sensu Saccharomyces)"
98,"YGL057C",,,1.14,1.46,5.93,4.75,"biological_process unknown","molecular_function unknown","mitochondrion"
99,"YIL173W","VTH1",,1.47,4.2,7.42,0.48,"Golgi to vacuole transport","signal sequence binding","endosome"
100,"YGR107W",,,1.8,2.36,1.76,7.86,,,
101,"YKR009C","FOX2",,1.57,2.27,2.19,7.46,"fatty acid beta-oxidation","3-hydroxyacyl-CoA dehydrogenase activity*","peroxisomal matrix"
102,"YHR159W",,,1.88,2.29,2.48,7.1,"biological_process unknown","molecular_function unknown","cytoplasm"
103,"YER137C",,,2.24,3.9,3.85,4.12,"biological_process unknown","molecular_function unknown","cellular_component unknown"
104,"YKL044W",,,1.77,2.31,3.73,5.77,,,
105,"YPR156C","TPO3",,2.05,3.79,5.27,2.72,"polyamine transport","spermine transporter activity","plasma membrane*"
106,"YHR157W","REC104",,1.91,2.51,3.28,5.96,"meiotic recombination*","molecular_function unknown","cellular_component unknown"
107,"YBR028C",,,1.72,5.69,8.04,-2.17,"biological_process unknown","protein kinase activity","cytoplasm"
108,"YPR011C",,,1.5,2.59,5.94,2.95,"transport","transporter activity","mitochondrial inner membrane"
109,"YIL157C","FMP35",,2.17,3.81,7.13,0.49,"biological_process unknown","molecular_function unknown","mitochondrion"
110,"YPR114W",,,2.11,4.12,4.55,2.71,"biological_process unknown","molecular_function unknown","endoplasmic reticulum"
111,"YIL058W",,,1.67,2.68,6.08,2.58,,,
112,"YDL215C","GDH2",,2.39,5.22,5.07,1.04,"nitrogen metabolism","glutamate dehydrogenase activity","soluble fraction"
113,"YBR220C",,,2.33,4.59,5.62,1.1,"biological_process unknown","molecular_function unknown","cellular_component unknown"
114,"YPL145C","KES1",,1.77,4.87,2.51,3.88,"vesicle-mediated transport*","oxysterol binding","cytoplasm"
115,"YBL066C","SEF1",,1.84,1.96,5.57,3.69,"biological_process unknown","molecular_function unknown","cellular_component unknown"
116,"YNR049C","MSO1",,1.63,2.39,5.5,3.31,"sporulation (sensu Saccharomyces)*","molecular_function unknown","microsome"
117,"YPR157W",,,1.58,1.68,3.38,6.13,"biological_process unknown","molecular_function unknown","cellular_component unknown"
118,"YER059W","PCL6",,2.14,2.71,7.44,1.02,"regulation of glycogen biosynthesis*","cyclin-dependent protein kinase, intrinsic regulator activity","cyclin-dependent protein kinase holoenzyme complex"
119,"YBR018C","GAL7",,1.65,2.77,7.27,1.14,"galactose metabolism","UTP-hexose-1-phosphate uridylyltransferase activity","cytoplasm"
120,"YBR072W","HSP26",,2.19,2.48,5.46,3.22,"response to stress*","chaperone activity*","cytoplasm*"
121,"YBL107C",,,2.25,2.28,7.31,1.55,"biological_process unknown","molecular_function unknown","cytoplasm"
122,"YJL132W",,,2.05,2.67,6.42,1.96,"biological_process unknown","molecular_function unknown","cellular_component unknown"
123,"YLR187W",,,1.09,1.02,1.31,8.67,"biological_process unknown","molecular_function unknown","cytoplasm*"
124,"YIL168W","SDL1",,1.53,3.74,6.75,0.46,"serine family amino acid metabolism","L-serine ammonia-lyase activity","cellular_component unknown"
125,"YIL121W","QDR2",,2.28,4.18,6.61,0.15,"biological_process unknown","molecular_function unknown","cellular_component unknown"
126,"YNR056C","BIO5",,2,2.2,1.29,7.45,"biotin biosynthesis*","permease activity","plasma membrane"
127,"YPR151C","SUE1",,1.26,1.8,6.33,2.75,"biological_process unknown","molecular_function unknown","cellular_component unknown"
128,"YGL079W",,,2.2,1.98,5.73,3.14,"biological_process unknown","molecular_function unknown","endosome"
129,"YIR023W","DAL81",,1.53,4.67,5.29,0.78,"regulation of transcription from Pol II promoter*","specific RNA polymerase II transcription factor activity","nucleus"
130,"YGR291C",,,1.99,1.48,6.8,2.45,,,
131,"YCL013W",,,2.16,5.43,4.42,0.78,,,
132,"YOL106W",,,2.19,1.24,1.03,8.33,,,
133,"YBR015C","MNN2",,1.78,2.44,7.32,0.76,"protein amino acid glycosylation","alpha-1,2-mannosyltransferase activity","Golgi apparatus"
134,"YMR326C",,,1.79,2.75,3.69,4.05,,,
135,"YKL176C","LST4",,1.13,1.7,2.28,6.46,"vesicle-mediated transport*","protein transporter activity","vesicle coat"
136,"YPL017C",,,1.33,3.19,6.12,1.1,"biological_process unknown","S-adenosylmethionine-dependent methyltransferase activity","cytoplasm"
137,"YLR327C",,,1.22,1.09,1.5,7.82,"biological_process unknown","molecular_function unknown","cytoplasm*"
138,"YBR013C",,,2.06,4.82,4.96,0.59,"biological_process unknown","molecular_function unknown","cellular_component unknown"
139,"YBR071W",,,1.84,2.74,5.93,1.69,"biological_process unknown","molecular_function unknown","cytoplasm"
140,"YPL150W",,,2.37,4.07,5.24,1.05,"biological_process unknown","protein kinase activity","cellular_component unknown"
141,"YBR114W","RAD16",,1.74,1.68,4.57,4.1,"nucleotide-excision repair, DNA damage recognition","DNA dependent ATPase activity","repairosome*"
142,"YGL248W","PDE1",,1.98,3.77,4.64,1.93,"cAMP-mediated signaling","cAMP-specific phosphodiesterase activity","cellular_component unknown"
143,"YPR009W","SUT2",,2.23,3.83,3.06,3.45,"regulation of transcription from Pol II promoter*","specific RNA polymerase II transcription factor activity","cellular_component unknown"
144,"YDL053C","PBP4",,1.16,1.9,3.29,5.13,"biological_process unknown","molecular_function unknown","cytoplasm*"
145,"YKR087C",,,1.95,3.46,2.76,4.03,"biological_process unknown","molecular_function unknown","mitochondrion"
146,"YIL159W","BNR1",,2.18,2.6,7.42,0.23,"actin filament organization*","cytoskeletal protein binding","contractile ring (sensu Saccharomyces)"
147,"YIL131C","FKH1",,1.49,1.64,4.21,4.37,"pseudohyphal growth*","transcription factor activity","nucleus"
148,"YLL015W","BPT1",,1.98,2.29,3.08,4.8,"bilirubin transport*","bilirubin transporter activity*","vacuolar membrane (sensu Fungi)"
149,"YIL030C","SSM4",,1.82,4.5,4.13,1.54,"mRNA polyadenylation","ubiquitin-protein ligase activity","nuclear membrane"
150,"YJL105W","SET4",,1.68,2.07,5.08,3,"biological_process unknown","molecular_function unknown","cellular_component unknown"
151,"YJL130C","URA2",,1.49,1.66,3.22,5.25,"pyrimidine base biosynthesis","aspartate carbamoyltransferase activity","cytoplasm"
152,"YPR030W","CSR2",,1.48,1.1,3.76,5.26,"cell wall organization and biogenesis*","molecular_function unknown","nucleus"
153,"YGR292W","MAL12",,1.91,1.59,6.32,2.19,"maltose catabolism","alpha-glucosidase activity","cellular_component unknown"
154,"YPL071C",,,1.4,2.53,2.71,4.85,"biological_process unknown","molecular_function unknown","cytoplasm*"
155,"YDR143C","SAN1",,1.46,2.17,3.86,4.05,"establishment and/or maintenance of chromatin architecture","molecular_function unknown","cellular_component unknown"
156,"YDL182W","LYS20",,1.65,0.72,0.54,8.81,"lysine biosynthesis, aminoadipic pathway","homocitrate synthase activity","nucleus"
157,"YEL049W","PAU2",,1.93,3.98,6.06,0.01,"biological_process unknown","molecular_function unknown","cellular_component unknown"
158,"YKR015C",,,1.9,2.1,2.61,5.27,"biological_process unknown","molecular_function unknown","cellular_component unknown"
159,"YPL034W",,,0.92,2.48,5.85,1.62,"biological_process unknown","molecular_function unknown","cellular_component unknown"
160,"YIL140W","AXL2",,2.18,2.73,6.48,0.72,"bud site selection*","molecular_function unknown","bud neck*"
161,"YDL216C","RRI1",,2.19,3.73,5.64,0.53,"adaptation to pheromone during conjugation with cellular fusion*","metalloendopeptidase activity","signalosome complex"
162,"YNL268W","LYP1",,1.68,0.99,6.55,2.34,"basic amino acid transport","basic amino acid transporter activity","plasma membrane"
163,"YLR461W","PAU4",,2.23,2.53,2.05,5.29,"biological_process unknown","molecular_function unknown","cellular_component unknown"
164,"YEL037C","RAD23",,1.7,2.66,5.45,1.75,"nucleotide-excision repair, DNA damage recognition*","damaged DNA binding","repairosome*"
165,"YDR229W","IVY1",,1.79,2.03,3.97,3.82,"secretory pathway","phospholipid binding","vacuolar membrane (sensu Fungi)"
166,"YOR155C","ISN1",,1.88,1.64,6.01,2.16,"biological_process unknown","molecular_function unknown","cellular_component unknown"
167,"YNL011C",,,1.28,1.34,7.01,1.44,"biological_process unknown","molecular_function unknown","cellular_component unknown"
168,"YJL078C","PRY3",,0.96,1.93,1.96,5.89,"biological_process unknown","molecular_function unknown","cell wall (sensu Fungi)"
169,"YHR113W",,,1.12,1.48,1.28,7.01,"biological_process unknown","molecular_function unknown","cytoplasm"
170,"YIL100W",,,1.62,3.19,6.62,-0.05,,,
171,"YOR268C",,,1.11,2.65,4.98,2.12,,,
172,"YAL067C","SEO1",,1.87,1.92,3.6,4.23,"transport","transporter activity","membrane"
173,"YDR018C",,,1.63,2.93,5.44,1.37,"phospholipid biosynthesis","acyltransferase activity","cellular_component unknown"
174,"YBR016W",,,1.66,1.62,6.6,1.51,"response to dessication","molecular_function unknown","plasma membrane"
175,"YPR005C","HAL1",,1.96,2.79,5.09,1.85,"positive regulation of transcription from Pol II promoter*","molecular_function unknown","cytoplasm"
176,"YLR278C",,,1.08,1.5,2.39,5.78,"biological_process unknown","molecular_function unknown","nucleus"
177,"YKL034W","TUL1",,1.47,1.03,2.11,6.52,"protein transport","ligase activity","intracellular"
178,"YJL096W","MRPL49",,0,0.04,0.05,9.57,"protein biosynthesis","structural constituent of ribosome","mitochondrial large ribosomal subunit"
179,"YPR029C","APL4",,0.78,3.72,4.64,1.28,"vesicle-mediated transport","clathrin binding","AP-1 adaptor complex"
180,"YDL049C","KNH1",,1.72,1.86,4.22,3.54,"beta-1,6 glucan biosynthesis","molecular_function unknown","cell wall (sensu Fungi)*"
181,"YKL150W","MCR1",,2.36,2.23,1.7,5.65,"response to oxidative stress*","cytochrome-b5 reductase activity","mitochondrial intermembrane space*"
182,"YMR118C",,,1.99,1.43,6.06,2.08,"biological_process unknown","molecular_function unknown","cellular_component unknown"
183,"YDR357C",,,2.02,2.92,4.88,1.75,"biological_process unknown","molecular_function unknown","cytoplasm"
184,"YKL184W","SPE1",,2.28,2.7,2.94,3.86,"pantothenate biosynthesis","ornithine decarboxylase activity","cytoplasm"
185,"YBR116C",,,1.64,1.35,4.69,3.43,,,
186,"YFR017C",,,1.16,4.5,4.28,0.66,"biological_process unknown","molecular_function unknown","cytoplasm"
187,"YNR070W",,,2.25,1.67,1.71,6.06,"transport","ATP-binding cassette (ABC) transporter activity","membrane"
188,"YJL094C","KHA1",,1.17,0.64,1.61,7.15,"monovalent inorganic cation transport","potassium:hydrogen antiporter activity","membrane"
189,"YFL055W","AGP3",,1.93,4.34,4.08,0.98,"amino acid transport","amino acid transporter activity","plasma membrane"
190,"YLR422W",,,1.4,1.73,1.27,6.38,"biological_process unknown","molecular_function unknown","cytoplasm"
191,"YPL026C","SKS1",,2.17,3.05,4.91,1.41,"protein amino acid phosphorylation*","protein serine/threonine kinase activity","cytoplasm"
192,"YDR443C","SSN2",,0.56,0.18,0.02,9.15,"negative regulation of transcription from Pol II promoter","general RNA polymerase II transcription factor activity","transcription factor complex"
193,"YPL009C",,,2.3,1.84,3.02,4.48,"biological_process unknown","molecular_function unknown","cytoplasm"
194,"YER170W","ADK2",,2.03,2.08,5.39,1.86,"biological_process unknown","adenylate kinase activity","mitochondrial inner membrane"
195,"YGR250C",,,1.58,2.46,6.67,0.2,"biological_process unknown","RNA binding","cytoplasm"
196,"YBL087C","RPL23A",,1.7,2.86,4.76,1.66,"protein biosynthesis","structural constituent of ribosome","cytosolic large ribosomal subunit (sensu Eukarya)"
197,"YBR040W","FIG1",,1.12,5.48,2.93,0.86,"cellular morphogenesis during conjugation with cellular fusion*","molecular_function unknown","cell wall (sensu Fungi)*"
198,"YPR091C",,,1.97,1.61,7.33,0.31,"biological_process unknown","molecular_function unknown","endoplasmic reticulum"
199,"YJL103C",,,1.22,0.7,4.42,4.13,"biological_process unknown","molecular_function unknown","cellular_component unknown"
200,"YEL008W",,,2.22,3.12,5.66,0.45,,,
201,"YLR104W",,,0.51,2.71,2.88,3.64,"biological_process unknown","molecular_function unknown","cellular_component unknown"
202,"YGL156W","AMS1",,1.11,1.92,4.18,3.13,"carbohydrate metabolism","alpha-mannosidase activity","vacuolar membrane"
203,"YJL037W",,,1.27,0.95,1.24,7.03,"biological_process unknown","molecular_function unknown","cellular_component unknown"
204,"YAR030C",,,1.13,2.59,4.44,2.18,,,
205,"YDL046W","NPC2",,1.5,2.78,4.17,2.24,"biological_process unknown","molecular_function unknown","vacuole (sensu Fungi)"
206,"YBR007C",,,1.06,1.42,4.48,3.28,"biological_process unknown","molecular_function unknown","cellular_component unknown"
207,"YJL098W","SAP185",,0.9,1.53,0.88,6.77,"G1/S transition of mitotic cell cycle","protein serine/threonine phosphatase activity","cytoplasm"
208,"YGL165C",,,2,1.85,5.21,2.1,,,
209,"YDL019C","OSH2",,1.73,2.8,6.2,0.12,"steroid biosynthesis","oxysterol binding","plasma membrane*"
210,"YOL153C",,,2,1.37,5.76,1.97,"biological_process unknown","molecular_function unknown","cellular_component unknown"
211,"YBR100W",,,1.45,0.98,3.08,5.03,,,
212,"YGL243W","TAD1",,1.26,2.51,5.27,1.29,"tRNA modification","tRNA specific adenosine deaminase activity","nucleus"
213,"YDL226C","GCS1",,1.59,2.89,4.01,2.17,"ER to Golgi transport*","ARF GTPase activator activity*","cytoskeleton*"
214,"YGL076C","RPL7A",,1.52,1.34,4.49,3.22,"protein biosynthesis","structural constituent of ribosome","cytosolic large ribosomal subunit (sensu Eukarya)"
215,"YMR074C",,,1.72,1.6,5.26,2.15,"biological_process unknown","molecular_function unknown","cytoplasm*"
216,"YJL134W","LCB3",,2.14,4.47,2.09,2.44,"sphingolipid biosynthesis*","sphingosine-1-phosphate phosphatase activity","endoplasmic reticulum"
217,"YJL210W","PEX2",,1.91,2.41,2.92,3.67,"peroxisome organization and biogenesis","protein binding","peroxisomal membrane"
218,"YGL081W",,,1.54,1.16,3.88,3.9,"biological_process unknown","molecular_function unknown","cellular_component unknown"
219,"YBL043W","ECM13",,2.31,3.77,2.73,2.42,"cell wall organization and biogenesis","molecular_function unknown","cellular_component unknown"
220,"YDL230W","PTP1",,2.17,2.53,6.19,0.2,"protein amino acid dephosphorylation","protein tyrosine phosphatase activity","cytoplasm"
221,"YPR172W",,,1.76,4.71,2.93,1.27,"biological_process unknown","molecular_function unknown","cytoplasm*"
222,"YAL030W","SNC1",,2.14,2.34,5.64,0.93,"endocytosis*","v-SNARE activity","transport vesicle"
223,"YIL138C","TPM2",,2.02,2.25,6.65,-0.01,"establishment of cell polarity (sensu Saccharomyces)*","actin lateral binding","contractile ring (sensu Saccharomyces)*"
224,"YIL108W",,,1.99,2.87,5.47,0.55,"biological_process unknown","molecular_function unknown","cytoplasm"
225,"YFR020W",,,1.45,3.49,4.74,0.65,,,
226,"YIL105C","LIT2",,2.38,5.26,3.49,0.13,"biological_process unknown","molecular_function unknown","cytoplasm"
227,"YKR017C",,,1.34,1.61,1.45,5.82,"biological_process unknown","molecular_function unknown","cellular_component unknown"
228,"YOR304W","ISW2",,2.04,3.39,2.76,2.72,"chromatin modeling*","ATPase activity","nucleus"
229,"YIL044C","AGE2",,1.73,2.82,4.11,1.93,"ER to Golgi transport*","ARF GTPase activator activity","clathrin-coated vesicle"
230,"YGR295C","COS6",,1.15,2.53,5.23,1.09,"biological_process unknown","molecular_function unknown","vacuole (sensu Fungi)"
231,"YLR178C","TFS1",,1.74,1.71,3.45,3.67,"regulation of proteolysis and peptidolysis","lipid binding*","soluble fraction"
232,"YDR260C","SWM1",,1.19,1.85,4.71,2.27,"spore wall assembly (sensu Saccharomyces)*","molecular_function unknown","nucleus*"
233,"YML002W",,,1.54,3.25,2.58,2.98,"biological_process unknown","molecular_function unknown","cellular_component unknown"
234,"YEL060C","PRB1",,1.67,1.91,3.86,2.98,"sporulation*","serine-type endopeptidase activity","vacuole (sensu Fungi)"
235,"YOR226C","ISU2",,1.69,1.6,2.28,4.87,"iron ion homeostasis*","molecular_function unknown","mitochondrial matrix"
236,"YKR013W","PRY2",,1.98,2.35,2.85,3.53,"biological_process unknown","molecular_function unknown","vacuole (sensu Fungi)"
237,"YPR032W","SRO7",,0.5,1.04,1.27,6.41,"Golgi to plasma membrane transport*","molecular_function unknown","plasma membrane*"
238,"YLL054C",,,0.78,1.7,1.46,5.53,"biological_process unknown","transcriptional activator activity","plasma membrane"
